Date,Description,Original Description,Category,Amount,Status
2021-05-20,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2021-05-19,"Interest","INTEREST PAID",Interest Income,0.02,Posted
2021-05-19,"Northgate Shopping","NORTHGATE SHOPPING CTR385FAYETTEVILLE NC",Cash,-20.00,Posted
2021-05-18,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-60.00,Posted
2021-05-12,"Internet","CCLC             INTERNET   ***********3182",Transfer,-75.00,Posted
2021-05-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-584.91,Posted
2021-05-04,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-60.00,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-60.00,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-42.78,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-42.66,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-10.64,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,240.60,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,213.99,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,175.00,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,94.71,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,54.27,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,44.71,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,44.00,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,23.44,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,20.79,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,14.67,Posted
